FORMA|KEY|SIGL
fu|fu|v
moult|moult|v
aleigre|aleigre4|v
##|##
et|et|v
joieuse|joieuse|v
,|,|v
si|si|v
dist|dist|v
##|##
à|à|v
soi|soi|v
meïsmes|meïsmes4|v
q’|q’1|v
elle|elle|v
##|##
ne|ne|v
laseroit|laseroit|v
en|en|v
nulle|nulle|v
mainiere|mainiere|v
##|##
q’|q’1|v
elle|elle|v
ne|ne|v
là|là|v
alast|alast|v
##|##
au|au|v
tenple|tenple1|v
la|la|v
feste|feste|v
sacrefier|sacrefier|v
##|##
por|por|v
paris|paris|v
veoir|veoir|v
.|.|v
si|si|v
##|##
dist|dist|v
à|à|v
cels|cels1|v
en|en|v
cui|cui|v
##|##
elle|elle|v
plus|plus|v
fesioit|fesioit|v
q’|q’1|v
il|il1|v
##|##
li|li3|v
aparoillasent|aparoillasent|v
hoire|hoire|v
por_ce_q’|por_ce_q’|v
elle|elle|v
##|##
voloit|voloit1|v
aler|aler|v
au|au|v
tenple|tenple1|v
por|por|v
##|##
un|un|v
vo|vo1|v
q’|q’|v
elle|elle|v
avoit|avoit2|v
##|##
fet|fet2|v
apollo|apollo|v
son|son1|v
diex|diex3|v
,|,|v
##|##
por_ce_q’|por_ce_q’|v
elle|elle|v
voloit|voloit1|v
hoïr|hoïr|v
le|le|v
##|##
devin|devin|v
respons|respons|v
.|.|v
tot_ensi_com|tot_ensi_com|v
elle|elle|v
##|##
le|le6|v
conmanda|conmanda|v
fu|fu1|v
tot_maintenan|tot_maintenan|v
fait|fait2|v
##|##
,|,|v
puis|puis|v
se|se|v
mist|mist|v
à|à|v
##|##
la|la|v
voie|voie|v
entre|entre|v
li|li3|v
et|et|v
##|##
sa|sa|v
maisnié|maisnié|v
.|.|v
et|et|v
tant|tant|v
##|##
chevaucherent|chevaucherent|v
q’|q’1|v
elle|elle|v
vint|vint|v
au|au|v
##|##
tenple|tenple1|v
,|,|v
moult|moult|v
lié|lié1|v
et|et|v
##|##
moult|moult|v
joieuse|joieuse|v
.|.|v
paris|paris1|v
,|,|v
##|##
qi|qi|v
au|au|v
tenple|tenple1|v
estoit|estoit|v
,|,|v
##|##
adonc|adonc|v
nen|nen|v
avoit|avoit2|v
jamés|jamés|v
helene|helene|v
##|##
veüe|veüe|v
;|;|v
tot_maintenant_q’|tot_maintenant_q’|v
il|il|v
la|la1|v
vit|vit|v
##|##
,|,|v
la|la1|v
conjota|conjota|v
avoir|avoir|v
car|car|v
##|##
il|il|v
avoit|avoit2|v
hoï|hoï1|v
dir|dir|v
et|et|v
##|##
