FORMA|KEY|LEMMA|ETIMO|LANG|DATE|POS|FUNCT|gender|number|case|degree|deterType|MWEs|pronType|person|verbForm|mood|tense|voice|property|adpType|advType|advType2|numType|partType|g|h|p|v|LOC.1|LOC.2|LOC.3|LOC.4|DATE.0|DATE.1|DATE.2
aparoilla|aparoilla|apareillier1|*APPARICULARE|||verb|||Sing||||||3|Fin|Ind|Past|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillasent|aparoillasent|apareillier1|*APPARICULARE|||verb|||Plur||||||3|Fin|Sub|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillee|aparoillee|apareillier1|*APPARICULARE|||verb||Fem|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillee|aparoillee6|apareillier1|*APPARICULARE|||verb|Adj|Fem|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoiller|aparoiller|apareillier1|*APPARICULARE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoilliee|aparoilliee|apareillier1|*APPARICULARE|||verb||Fem|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoilliee|aparoilliee1|apareillier1|*APPARICULARE|||verb|compPass|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillier|aparoillier|apareillier1|*APPARICULARE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillier|aparoillier1|apareillier1|*APPARICULARE|||verb|||Plur||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aparoillé|aparoillé|apareillier1|*APPARICULARE|||verb|Adj|Masc|Sing|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
