FORMA|KEY|SIGL
bien|bien4|g
fete|fete1|g
garnir|garnir|g
et|et|g
##|##
aparoillier|aparoillier|g
de|de|g
qanqe|qanqe|g
mestier|mestier|g
lor|lor4|g
##|##
fu|fu3|g
.|.|g
adonc|adonc|g
vindren|vindren|g
les|les|g
##|##
chevaliers|chevaliers2|g
et|et|g
les|les|g
conpaignons|conpaignons|g
jason|jason1|g
##|##
,|,|g
si|si|g
entrerent|entrerent|g
de_denz|de_denz|g
la|la|g
##|##
nef|nef|g
.|.|g
hercules|hercules|g
i|i|g
ala|ala|g
##|##
avec|avec|g
jason|jason1|g
por_ce_qe|por_ce_qe|g
son|son|g
parenz|parenz|g
##|##
estoit|estoit|g
auqes|auqes|g
de_pres|de_pres|g
.|.|g
et|et|g
##|##
quant|quant|g
la|la|g
nef|nef|g
fu|fu1|g
mult|mult|g
##|##
bien|bien4|g
aparoilliee|aparoilliee1|g
et|et|g
garnie|garnie|g
,|,|g
##|##
il|il1|g
furent|furent2|g
recoillis|recoillis1|g
tos|tos4|g
,|,|g
##|##
adonc|adonc|g
donna|donna|g
lor|lor5|g
voilles|voilles|g
,|,|g
##|##
si|si|g
se|se1|g
mistrent|mistrent|g
en|en|g
aute|aute|g
##|##
mer|mer|g
.|.|g
et|et|g
tant|tant|g
siglerent|siglerent|g
##|##
